job_name,N,N_approx,D,C,lr,gbsz,beta2,seed,iteration,train_samples,train_tokens,num_of_valid_seq,loss,loss_se
dense_130M_xm01_lr0.001_gbsz16_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.001,16,0.99,1234,91553.0,1464848.0,6000017408.0,204800.0,2.722923,0.0
dense_130M_xm01_lr0.001_gbsz256_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.001,256,0.99,1234,114441.0,29296896.0,120000086016.0,204800.0,2.503758,0.0
dense_130M_xm01_lr0.001_gbsz256_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.001,256,0.99,1234,11445.0,2929920.0,12000952320.0,204800.0,2.679267,0.0
dense_130M_xm01_lr0.001_gbsz256_beta20.99_200B,124455168,130000000.0,200000000000.0,1.493462016e+20,0.001,256,0.99,1234,190735.0,48828160.0,200000143360.0,204800.0,2.48207,0.0
dense_130M_xm01_lr0.001_gbsz256_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.001,256,0.99,1234,19074.0,4882944.0,20000538624.0,204800.0,2.625346,0.0
dense_130M_xm01_lr0.001_gbsz256_beta20.99_300B,124455168,130000000.0,300000000000.0,2.240193024e+20,0.001,256,0.99,1234,286103.0,73242368.0,300000739328.0,204800.0,2.467905,0.0
dense_130M_xm01_lr0.001_gbsz256_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.001,256,0.99,1234,28611.0,7324416.0,30000807936.0,204800.0,2.590132,0.0
dense_130M_xm01_lr0.001_gbsz256_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.001,256,0.99,1234,47684.0,12207104.0,50000297984.0,204800.0,2.552958,0.0
dense_130M_xm01_lr0.001_gbsz256_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.001,256,0.99,1234,76294.0,19531264.0,80000057344.0,204800.0,2.524726,0.0
dense_130M_xm01_lr0.001_gbsz32_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.001,32,0.99,1234,91553.0,2929696.0,12000034816.0,204800.0,2.650551,0.0
dense_130M_xm01_lr0.001_gbsz32_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.001,32,0.99,1234,152588.0,4882816.0,20000014336.0,204800.0,2.612249,0.0
dense_130M_xm01_lr0.001_gbsz32_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.001,32,0.99,1234,228882.0,7324224.0,30000021504.0,204800.0,2.584395,0.0
dense_130M_xm01_lr0.001_gbsz32_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.001,32,0.99,1234,45777.0,1464864.0,6000082944.0,204800.0,2.712857,0.0
dense_130M_xm01_lr0.001_gbsz512_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.001,512,0.99,1234,57221.0,29297152.0,120001134592.0,204800.0,2.514739,0.0
dense_130M_xm01_lr0.001_gbsz512_beta20.99_200B,124455168,130000000.0,200000000000.0,1.493462016e+20,0.001,512,0.99,1234,95368.0,48828416.0,200001191936.0,204800.0,2.490267,0.0
dense_130M_xm01_lr0.001_gbsz512_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.001,512,0.99,1234,9537.0,4882944.0,20000538624.0,204800.0,2.659157,0.0
dense_130M_xm01_lr0.001_gbsz512_beta20.99_300B,124455168,130000000.0,300000000000.0,2.240193024e+20,0.001,512,0.99,1234,143052.0,73242624.0,300001787904.0,204800.0,2.474234,0.0
dense_130M_xm01_lr0.001_gbsz512_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.001,512,0.99,1234,14306.0,7324672.0,30001856512.0,204800.0,2.614123,0.0
dense_130M_xm01_lr0.001_gbsz512_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.001,512,0.99,1234,23842.0,12207104.0,50000297984.0,204800.0,2.570127,0.0
dense_130M_xm01_lr0.001_gbsz512_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.001,512,0.99,1234,38147.0,19531264.0,80000057344.0,204800.0,2.537995,0.0
dense_130M_xm01_lr0.001_gbsz64_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.001,64,0.99,1234,457764.0,29296896.0,120000086016.0,204800.0,2.501148,0.0
dense_130M_xm01_lr0.001_gbsz64_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.001,64,0.99,1234,45777.0,2929728.0,12000165888.0,204800.0,2.650966,0.0
dense_130M_xm01_lr0.001_gbsz64_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.001,64,0.99,1234,76294.0,4882816.0,20000014336.0,204800.0,2.606964,0.0
dense_130M_xm01_lr0.001_gbsz64_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.001,64,0.99,1234,114441.0,7324224.0,30000021504.0,204800.0,2.576124,0.0
