model_path,size,data,lr,gbsz,beta2,seed,schedule,tokens_B,iter,benchmark,task,n_shot,metric,score
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,openbookqa,0,acc_norm,0.344
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,piqa,10,acc_norm,0.71273
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,winogrande,0,acc,0.59116
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,wsc273,0,acc,0.69597
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,agieval_lsat_ar,3,acc,0.19565
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,arc_challenge,10,acc_norm,0.33106
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,arc_easy,10,acc_norm,0.64141
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,bigbench_cs_algorithms_generate_until,10,exact_match,0
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,bigbench_dyck_languages_generate_until,10,exact_match,0.287
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,bigbench_language_identification_multiple_choice,10,acc,0.0982
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,bigbench_operators_generate_until,10,exact_match,0
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,bigbench_qa_wikidata_generate_until,10,exact_match,0
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,bigbench_repeat_copy_logic_generate_until,10,exact_match,0
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,boolq,10,acc,0.60214
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,commonsense_qa,10,acc,0.20639
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,copa,0,acc,0.72
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,coqa,0,f1,0.55448
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,hellaswag,10,acc_norm,0.53475
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,hellaswag,0,acc_norm,0.52022
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,jeopardy,10,exact_match,0.074162
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,lambada_openai,0,acc,0.61653
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,openbookqa,0,acc_norm,0.332
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,piqa,10,acc_norm,0.7198
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,squadv2,10,f1,15.186
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,winogrande,0,acc,0.57616
EleutherAI/pythia-1.4b,1.4B,EleutherAI/pythia-1.4b,,,,,,,,other,wsc273,0,acc,0.74725
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,agieval_lsat_ar,3,acc,0.20435
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,arc_challenge,10,acc_norm,0.54096
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,arc_easy,10,acc_norm,0.80682
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,bigbench_cs_algorithms_generate_until,10,exact_match,0
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,bigbench_dyck_languages_generate_until,10,exact_match,0.143
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,bigbench_language_identification_multiple_choice,10,acc,0.1911
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,bigbench_operators_generate_until,10,exact_match,0
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,bigbench_qa_wikidata_generate_until,10,exact_match,0
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,bigbench_repeat_copy_logic_generate_until,10,exact_match,0
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,boolq,10,acc,0.78563
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,commonsense_qa,10,acc,0.75758
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,copa,0,acc,0.83
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,coqa,0,f1,0.75021
Qwen/Qwen2.5-1.5B,1.5B,Qwen/Qwen2.5-1.5B,,,,,,,,other,hellaswag,0,acc_norm,0.67845
