job_name,N,N_approx,D,C,lr,gbsz,beta2,seed,iteration,train_samples,train_tokens,num_of_valid_seq,loss,loss_se
dense_300M_xm01_lr0.0005_gbsz128_beta20.95_30B,301880320,300000000.0,30000000000.0,5.43384576e+19,0.0005,128,0.95,1234,57221.0,7324288.0,30000283648.0,204800.0,2.416348,0.0
dense_300M_xm01_lr0.001_gbsz256_beta20.95_30B,301880320,300000000.0,30000000000.0,5.43384576e+19,0.001,256,0.95,1234,28611.0,7324416.0,30000807936.0,204800.0,2.419707,0.0
dense_300M_xm01_lr0.004_gbsz512_beta20.95_30B,301880320,300000000.0,30000000000.0,5.43384576e+19,0.004,512,0.95,1234,14306.0,7324672.0,30001856512.0,204800.0,2.432654,0.0
dense_300M_xm01_lr0.004_gbsz1024_beta20.95_30B,301880320,300000000.0,30000000000.0,5.43384576e+19,0.004,1024,0.95,1234,7153.0,7324672.0,30001856512.0,204800.0,2.458883,0.0
dense_300M_xm01_lr0.0005_gbsz64_beta20.95_50B,301880320,300000000.0,50000000000.0,9.0564096e+19,0.0005,64,0.95,1234,190735.0,12207040.0,50000035840.0,204800.0,2.378997,0.0
dense_300M_xm01_lr0.001_gbsz128_beta20.95_50B,301880320,300000000.0,50000000000.0,9.0564096e+19,0.001,128,0.95,1234,95368.0,12207104.0,50000297984.0,204800.0,2.377836,0.0
dense_300M_xm01_lr0.002_gbsz256_beta20.95_50B,301880320,300000000.0,50000000000.0,9.0564096e+19,0.002,256,0.95,1234,47684.0,12207104.0,50000297984.0,204800.0,2.379015,0.0
dense_300M_xm01_lr0.004_gbsz512_beta20.95_50B,301880320,300000000.0,50000000000.0,9.0564096e+19,0.004,512,0.95,1234,23842.0,12207104.0,50000297984.0,204800.0,2.386237,0.0
dense_300M_xm01_lr0.004_gbsz1024_beta20.95_50B,301880320,300000000.0,50000000000.0,9.0564096e+19,0.004,1024,0.95,1234,11921.0,12207104.0,50000297984.0,204800.0,2.403635,0.0
dense_300M_xm01_lr0.0005_gbsz64_beta20.95_80B,301880320,300000000.0,80000000000.0,1.449025536e+20,0.0005,64,0.95,1234,305176.0,19531264.0,80000057344.0,204800.0,2.350102,0.0
dense_300M_xm01_lr0.0005_gbsz128_beta20.95_80B,301880320,300000000.0,80000000000.0,1.449025536e+20,0.0005,128,0.95,1234,152588.0,19531264.0,80000057344.0,204800.0,2.346503,0.0
dense_300M_xm01_lr0.002_gbsz256_beta20.95_80B,301880320,300000000.0,80000000000.0,1.449025536e+20,0.002,256,0.95,1234,76294.0,19531264.0,80000057344.0,204800.0,2.345699,0.0
dense_300M_xm01_lr0.004_gbsz512_beta20.95_80B,301880320,300000000.0,80000000000.0,1.449025536e+20,0.004,512,0.95,1234,38147.0,19531264.0,80000057344.0,204800.0,2.350002,0.0
dense_300M_xm01_lr0.004_gbsz1024_beta20.95_80B,301880320,300000000.0,80000000000.0,1.449025536e+20,0.004,1024,0.95,1234,19074.0,19531776.0,80002154496.0,204800.0,2.362674,0.0
dense_300M_xm01_lr0.002_gbsz64_beta20.95_120B,301880320,300000000.0,120000000000.0,2.173538304e+20,0.002,64,0.95,1234,457764.0,29296896.0,120000086016.0,204800.0,2.359229,0.0
dense_300M_xm01_lr0.0005_gbsz128_beta20.95_120B,301880320,300000000.0,120000000000.0,2.173538304e+20,0.0005,128,0.95,1234,228882.0,29296896.0,120000086016.0,204800.0,2.322593,0.0
dense_300M_xm01_lr0.002_gbsz256_beta20.95_120B,301880320,300000000.0,120000000000.0,2.173538304e+20,0.002,256,0.95,1234,114441.0,29296896.0,120000086016.0,204800.0,2.321048,0.0
dense_300M_xm01_lr0.002_gbsz512_beta20.95_120B,301880320,300000000.0,120000000000.0,2.173538304e+20,0.002,512,0.95,1234,57221.0,29297152.0,120001134592.0,204800.0,2.323931,0.0
dense_300M_xm01_lr0.004_gbsz1024_beta20.95_120B,301880320,300000000.0,120000000000.0,2.173538304e+20,0.004,1024,0.95,1234,28611.0,29297664.0,120003231744.0,204800.0,2.332852,0.0
dense_300M_xm01_lr0.0005_gbsz64_beta20.95_200B,301880320,300000000.0,200000000000.0,3.62256384e+20,0.0005,64,0.95,1234,762940.0,48828160.0,200000143360.0,204800.0,2.305564,0.0
dense_300M_xm01_lr0.001_gbsz128_beta20.95_200B,301880320,300000000.0,200000000000.0,3.62256384e+20,0.001,128,0.95,1234,381470.0,48828160.0,200000143360.0,204800.0,2.299143,0.0
dense_300M_xm01_lr0.002_gbsz256_beta20.95_200B,301880320,300000000.0,200000000000.0,3.62256384e+20,0.002,256,0.95,1234,190735.0,48828160.0,200000143360.0,204800.0,2.295475,0.0
dense_300M_xm01_lr0.002_gbsz512_beta20.95_200B,301880320,300000000.0,200000000000.0,3.62256384e+20,0.002,512,0.95,1234,95368.0,48828416.0,200001191936.0,204800.0,2.295151,0.0
dense_300M_xm01_lr0.004_gbsz1024_beta20.95_200B,301880320,300000000.0,200000000000.0,3.62256384e+20,0.004,1024,0.95,1234,47684.0,48828416.0,200001191936.0,204800.0,2.301485,0.0
dense_300M_xm01_lr0.0005_gbsz128_beta20.95_300B,301880320,300000000.0,300000000000.0,5.43384576e+20,0.0005,128,0.95,1234,572205.0,73242240.0,300000215040.0,204800.0,2.280727,0.0
dense_300M_xm01_lr0.001_gbsz256_beta20.95_300B,301880320,300000000.0,300000000000.0,5.43384576e+20,0.001,256,0.95,1234,286103.0,73242368.0,300000739328.0,204800.0,2.277814,0.0
dense_300M_xm01_lr0.002_gbsz512_beta20.95_300B,301880320,300000000.0,300000000000.0,5.43384576e+20,0.002,512,0.95,1234,143052.0,73242624.0,300001787904.0,204800.0,2.27687,0.0
dense_300M_xm01_lr0.004_gbsz1024_beta20.95_300B,301880320,300000000.0,300000000000.0,5.43384576e+20,0.004,1024,0.95,1234,71526.0,73242624.0,300001787904.0,204800.0,2.280859,0.0
dense_600M_xm01_lr0.0005_gbsz32_beta20.95_6B,588544000,600000000.0,6000000000.0,2.1187584e+19,0.0005,32,0.95,1234,45777.0,1464864.0,6000082944.0,204800.0,2.485527,0.0
