N,D,C,lr,gbsz,loss
47557632,80000000000.0,2.282766336e+19,0.02349402116680172,512,2.7758495478369687
47557632,80000000000.0,2.282766336e+19,0.013455848816726047,1024,2.798225803038043
47557632,120000000000.0,3.424149504e+19,0.0011389259147941522,64,2.7686860301258114
47557632,120000000000.0,3.424149504e+19,0.0018257129103875364,128,2.7681722062610765
47557632,120000000000.0,3.424149504e+19,0.004927924332610413,256,2.7674988800495344
47557632,120000000000.0,3.424149504e+19,0.021214782763057372,512,2.7625571342743607
47557632,120000000000.0,3.424149504e+19,0.033742466686062365,1024,2.768471601988449
47557632,200000000000.0,5.70691584e+19,0.0010181037472031889,64,2.7565727187843683
47557632,200000000000.0,5.70691584e+19,0.0015847396108113361,128,2.754934581689639
47557632,200000000000.0,5.70691584e+19,0.003521621703189533,256,2.7551093789463534
47557632,200000000000.0,5.70691584e+19,0.015525707319375519,512,2.7503586026391122
47557632,200000000000.0,5.70691584e+19,0.09348370302365934,1024,2.740030704310314
47557632,300000000000.0,8.56037376e+19,1.0394119636784882,64,0.00031564721842599247
47557632,300000000000.0,8.56037376e+19,0.001462998555425384,128,2.7463584367219362
47557632,300000000000.0,8.56037376e+19,0.003030663549627398,256,2.7460893996334237
47557632,300000000000.0,8.56037376e+19,0.009241535448201905,512,2.744519385774808
47557632,300000000000.0,8.56037376e+19,0.09593698418338201,1024,2.730348057087672
124455168,6000000000.0,4.480386048e+18,0.0004838123091191875,16,2.716695203972848
124455168,6000000000.0,4.480386048e+18,0.000792622530704272,32,2.7124645091175994
124455168,6000000000.0,4.480386048e+18,0.0012054267303631323,64,2.7166684388245455
124455168,6000000000.0,4.480386048e+18,0.002176691743995444,128,2.727533626186974
124455168,12000000000.0,8.960772096e+18,0.0004041819380775305,16,2.6533738006073686
124455168,12000000000.0,8.960772096e+18,0.0005950948246010177,32,2.6483692513473933
124455168,12000000000.0,8.960772096e+18,0.000999975328263187,64,2.6481251499916265
124455168,12000000000.0,8.960772096e+18,0.001707921012771607,128,2.6518217354836553
124455168,12000000000.0,8.960772096e+18,0.0031707459053516695,256,2.666235988018169
124455168,20000000000.0,1.493462016e+19,0.0005765705030602047,32,2.60792550754507
124455168,20000000000.0,1.493462016e+19,0.0009312379256123819,64,2.6047548491566515
124455168,20000000000.0,1.493462016e+19,0.0015282861302282646,128,2.60591821490978
124455168,20000000000.0,1.493462016e+19,0.004008642292658985,256,2.6119909665276437
124455168,20000000000.0,1.493462016e+19,0.003875757926642695,512,2.6408713172253515
124455168,30000000000.0,2.240193024e+19,0.0005683339675591951,32,2.579151499580151
124455168,30000000000.0,2.240193024e+19,0.0009123830434500616,64,2.573754506865317
124455168,30000000000.0,2.240193024e+19,0.0014534085733149808,128,2.574484438773657
124455168,30000000000.0,2.240193024e+19,0.0045113346279132506,256,2.5769479765724173
124455168,30000000000.0,2.240193024e+19,0.0038430582548784112,512,2.5981783935700036
124455168,30000000000.0,2.240193024e+19,0.010007471911585688,1024,2.6430495632937
124455168,50000000000.0,3.73365504e+19,0.0008857822355994454,64,2.540644068432043
124455168,50000000000.0,3.73365504e+19,0.00136749515901119,128,2.5411909704102875
124455168,50000000000.0,3.73365504e+19,0.0037886854066355113,256,2.5423869819797793
124455168,50000000000.0,3.73365504e+19,0.0038843087627188993,512,2.555404488641524
124455168,50000000000.0,3.73365504e+19,0.054918028147146525,1024,2.557474835891023
124455168,80000000000.0,5.973848064e+19,0.0008604737479921203,64,2.5158588645633735
124455168,80000000000.0,5.973848064e+19,0.0012732987547617984,128,2.515498397567036
124455168,80000000000.0,5.973848064e+19,0.002971430736097795,256,2.5166746426402558
124455168,80000000000.0,5.973848064e+19,0.003824204374408479,512,2.524151321370894
124455168,80000000000.0,5.973848064e+19,0.06268158734862081,1024,2.5213408804736344
124455168,120000000000.0,8.960772096e+19,0.0008145829924013154,64,2.4985082649897032
124455168,120000000000.0,8.960772096e+19,0.0011570877855907745,128,2.4969552465322926
124455168,120000000000.0,8.960772096e+19,0.0022655714068263804,256,2.498213119547232
124455168,120000000000.0,8.960772096e+19,0.003477272259681549,512,2.502557455129898
124455168,120000000000.0,8.960772096e+19,1.1828417653343573,1024,2.4634193215507167
124455168,200000000000.0,1.493462016e+20,0.0010618240869480354,128,2.475927323979619
124455168,200000000000.0,1.493462016e+20,0.0018028587104726114,256,2.4782773071990833
124455168,200000000000.0,1.493462016e+20,0.0031638806253030285,512,2.480359561337316
124455168,200000000000.0,1.493462016e+20,0.04613052382449691,1024,2.4728368585828764
124455168,300000000000.0,2.240193024e+20,0.0008998170378001786,128,2.4664166076723673
124455168,300000000000.0,2.240193024e+20,0.001621790871257617,256,2.465266991995968
