job_name,N,N_approx,D,C,lr,gbsz,beta2,seed,iteration,train_samples,train_tokens,num_of_valid_seq,loss,loss_se
dense_1B_xm01_lr0.0005_gbsz128_beta20.95_50B,983138304,1000000000.0,50000000000.0,2.949414912e+20,0.0005,128,0.95,1234,95368.0,12207104.0,50000297984.0,204800.0,2.200296,0.0
dense_1B_xm01_lr0.0005_gbsz128_beta20.95_80B,983138304,1000000000.0,80000000000.0,4.7190638592e+20,0.0005,128,0.95,1234,152588.0,19531264.0,80000057344.0,204800.0,2.164629,0.0
dense_1B_xm01_lr0.0005_gbsz128_beta20.95_120B,983138304,1000000000.0,120000000000.0,7.0785957888e+20,0.0005,128,0.95,1234,228882.0,29296896.0,120000086016.0,204800.0,2.136785,0.0
dense_1B_xm01_lr0.0005_gbsz256_beta20.95_200B,983138304,1000000000.0,200000000000.0,1.1797659648e+21,0.0005,256,0.95,1234,190735.0,48828160.0,200000143360.0,204800.0,2.105955,0.0
dense_1B_xm01_lr0.0005_gbsz256_beta20.95_300B,983138304,1000000000.0,300000000000.0,1.7696489472e+21,0.0005,256,0.95,1234,286103.0,73242368.0,300000739328.0,204800.0,2.084332,0.0
dense_1_7B_xm01_lr0.0005_gbsz128_beta20.95_30B,1713504256,1700000000.0,30000000000.0,3.0843076608e+20,0.0005,128,0.95,1234,57221.0,7324288.0,30000283648.0,204800.0,2.180205,0.0
dense_1_7B_xm01_lr0.0005_gbsz128_beta20.95_50B,1713504256,1700000000.0,50000000000.0,5.140512768e+20,0.0005,128,0.95,1234,95368.0,12207104.0,50000297984.0,204800.0,2.135303,0.0
dense_1_7B_xm01_lr0.00025_gbsz256_beta20.95_80B,1713504256,1700000000.0,80000000000.0,8.2248204288e+20,0.00025,256,0.95,1234,76294.0,19531264.0,80000057344.0,204800.0,2.098102,0.0
dense_1_7B_xm01_lr0.00025_gbsz256_beta20.95_120B,1713504256,1700000000.0,120000000000.0,1.23372306432e+21,0.00025,256,0.95,1234,114441.0,29296896.0,120000086016.0,204800.0,2.067458,0.0
dense_1_7B_xm01_lr0.0005_gbsz256_beta20.95_200B,1713504256,1700000000.0,200000000000.0,2.0562051072e+21,0.0005,256,0.95,1234,190735.0,48828160.0,200000143360.0,204800.0,2.03439,0.0
dense_1_7B_xm01_lr0.0005_gbsz256_beta20.95_300B,1713504256,1700000000.0,300000000000.0,3.0843076608e+21,0.0005,256,0.95,1234,286103.0,73242368.0,300000739328.0,204800.0,2.010482,0.0
