N,D,C,lr,gbsz,loss
983138304,12000000000.0,7.0785957888e+19,0.002,135.58117144272984,2.3527327379417584
983138304,12000000000.0,7.0785957888e+19,0.004,,
983138304,20000000000.0,1.1797659648e+20,0.00025,78.74808645072876,2.285631255098016
983138304,20000000000.0,1.1797659648e+20,0.0005,106.39666968675976,2.280345381106076
983138304,20000000000.0,1.1797659648e+20,0.001,155.747735373806,2.2912091658685787
983138304,20000000000.0,1.1797659648e+20,0.002,177.1683023689916,2.2988264730306467
983138304,20000000000.0,1.1797659648e+20,0.004,235.18553800753196,2.3107757195558745
983138304,30000000000.0,1.7696489472e+20,0.00025,107.0021347624421,2.2441836854842183
983138304,30000000000.0,1.7696489472e+20,0.0005,133.03179763898058,2.241268922970775
983138304,30000000000.0,1.7696489472e+20,0.001,156.61596505710958,2.2529951960641252
983138304,30000000000.0,1.7696489472e+20,0.002,214.03140271769215,2.2588046311095167
983138304,30000000000.0,1.7696489472e+20,0.004,286.61231860631887,2.2685364672285457
983138304,50000000000.0,2.949414912e+20,0.00025,118.43150068970348,2.20181619575475
983138304,50000000000.0,2.949414912e+20,0.0005,156.75593297095267,2.2003749281527614
983138304,50000000000.0,2.949414912e+20,0.001,197.40028153384472,2.2085224531225487
983138304,50000000000.0,2.949414912e+20,0.002,271.89195088832537,2.213288791257526
983138304,50000000000.0,2.949414912e+20,0.004,,
983138304,80000000000.0,4.7190638592e+20,0.00025,127.06686675830986,2.1673270546210817
983138304,80000000000.0,4.7190638592e+20,0.0005,180.18046759955817,2.1657870145969325
983138304,80000000000.0,4.7190638592e+20,0.001,249.7637534170089,2.1711667728457518
983138304,80000000000.0,4.7190638592e+20,0.002,332.1272564875179,2.1744452557936254
983138304,80000000000.0,4.7190638592e+20,0.004,0.9659363289248456,0.00016303103653103634
983138304,120000000000.0,7.0785957888e+20,0.00025,136.69704948214252,2.140363657018142
983138304,120000000000.0,7.0785957888e+20,0.0005,203.62155223363413,2.1376685898084684
983138304,120000000000.0,7.0785957888e+20,0.001,298.3758149557442,2.1406999088332666
983138304,120000000000.0,7.0785957888e+20,0.002,392.00514294363416,2.1437391127388965
983138304,200000000000.0,1.1797659648e+21,0.00025,158.6373707689751,2.1100289369048193
983138304,200000000000.0,1.1797659648e+21,0.0005,237.91493753974927,2.1047895614078036
983138304,200000000000.0,1.1797659648e+21,0.001,354.7991875244073,2.1062638558282325
983138304,200000000000.0,1.1797659648e+21,0.002,541.2160058221255,2.1112605026601114
983138304,300000000000.0,1.7696489472e+21,0.00025,209.81516599554524,2.088837391812987
983138304,300000000000.0,1.7696489472e+21,0.0005,234.23897450618233,2.0835999946665638
983138304,300000000000.0,1.7696489472e+21,0.001,352.4697629052296,2.0833580471510436
983138304,300000000000.0,1.7696489472e+21,0.002,539.9860756111498,2.08532770277217
1713504256,30000000000.0,3.0843076608e+20,0.00025,139.37599075572498,2.186709672812576
1713504256,30000000000.0,3.0843076608e+20,0.0005,120.37371768434903,2.1801561906728555
1713504256,30000000000.0,3.0843076608e+20,0.001,176.9629493983008,2.181043305962935
